intervention,cost_effectiveness,stdev,source
Research - HIV,303.6788321,23736.173393361463,FHI
Research - Malaria,801.6557552999999,67817.2531556002,FHI
Research - TB,116.92257009999999,6958.190391689557,FHI
Research - Diarrhoeal diseases,3549.783221,286578.6965590446,FHI
Research - Hookworm,120.52655990000001,5099.0571812595,FHI
Research - Ascariasis,187.7757689,8193.987406358423,FHI
Research - Trichuriasis,251.3360511,11972.794951650587,FHI
Research - Lymphatic filariasis,59.91307178,2482.9031096929875,FHI
Research - Schistosomiasis,38.47714042,1623.9408994361875,FHI
Research - Onchocerciasis,18.36571832,756.2606520824662,FHI
Research - Dengue,0.3735479903,8.223786927174988,FHI
Research - Leishmaniasis,1703.723172,191421.5566238122,FHI
Research - Chagas disease,534.9673442,61260.90487924331,FHI
Research - Trypanosomiasis,802.7856649,107344.56932565401,FHI
Research - Meningititis,1732.5276829999998,150346.12251771212,FHI
Research - Typhoid and paratyphoid fever,709.0926718,53697.85267439134,FHI
Research - Multiple salmonella infections,753.6160471,46757.22591019181,FHI
Research - Leprosy,824.5218899,104639.48389870102,FHI
Research - Trachoma,17.06625626,685.7495338323076,FHI
Deworm the World,12.039436799377382,11.307933850696788,GW
Schistosomiasis Control Initiative,9.064981033005992,8.657475087774499,GW
Sightsavers,4.8944702111241245,4.598517108864676,GW
GiveDirectly,1.060327928590548,0.38096115201768715,GW
Against Malaria Foundation,3.572679373597565,2.964296538367636,GW
Malaria Consortium,3.222605618329421,2.162316158738712,GW
iodine supplementation,41.41890997158105,41.364215337848066,GW
Household lead pipe replacement,4.519663487284017,14.533889728565203,GW
"ACE inhibitor and beta-blocker, with diuretics",6.666666667,2.024291498,DCP2
Advertising ban and reduced access to beverage retail,2.475247525,6.756756755,DCP2
Annual mass drug administration,66.66666667,21.739130435,DCP2
"Antipsychotic drugs with optional psychosocial treatment, communitybased",0.10168802119999999,0.033955857385,DCP2
"Antipsychotic drugs with optional psychosocial treatment, hospitalbased",0.08389261745,0.031987716714999996,DCP2
Antiretroviral therapy,1.084598698,0.43706293705,DCP2
Aspirin and dipyridamole,12.34567901,21.739130435,DCP2
"Aspirin, betablocker, and optional ACE inhibitor",1.4534883719999998,1.052631579,DCP2
Ayurvedic treatment and levodopa or carbidopa,0.8833922261,0.657894737,DCP2
BCG vaccine,14.70588235,18.51851852,DCP2
Blood and needle safety,11.9047619,9.25925926,DCP2
Case management at community or facility level,7.751937984,3.164556962,DCP2
Case management at hospital level,0.2207505519,0.1548946716,DCP2
Cholera or rotavirus immunization,0.3687315634,1.091703057,DCP2
Condom promotion and distribution,12.19512195,8.333333335,DCP2
Construction and promotion of basic sanitation where facilities are limited,7.092198582000001,1.9305019305000002,DCP2
Diethyl carbamazine salt,45.45454545,11.904761905,DCP2
Directly observed short-course chemotherapy,3.3222591360000004,1.0706638115,DCP2
Directly observed short-course chemotherapy,9.803921569,2.8735632185,DCP2
Drugs with optional episodic or maintenance psychosocial treatment,0.5885815185000001,0.23992322454999998,DCP2
Drugs with optional psychosocial treatment,1.36239782,0.7142857145,DCP2
"Enforcement of seatbelt laws, promotion of child restraints and random driver breath testing",0.4083299306,0.1724137931,DCP2
Excise tax,0.7262164125,1.9607843135,DCP2
"Excise tax, advertising ban, with brief advice",1.584786054,8.333333335,DCP2
"Family, community, or clinical neonatal package",2.898550725,38.46153846,DCP2
Heparin and recombinant tissue plasminogen activator,0.5058168943,0.35790980674999995,DCP2
Improved water and sanitation at current coverage of amenities and other interventions,0.23894862600000003,0.11322463769999999,DCP2
"Increased speeding penalties, enforcement, media campaigns, and speed bumps",47.61904762,14.285714285,DCP2
Insecticidetreated bednets,90.90909091,41.666666665,DCP2
Intermittent preventive treatment in pregnancy with drug other than sulfadoxinepyrimethamine,142.8571429,55.55555555,DCP2
Intermittent preventive treatment in pregnancy with sulfadoxinepyrimethamine,52.63157895,45.454545455,DCP2
Isoniazid treatment,0.075999392,0.06741270055,DCP2
Isoniazid treatment,5.076142132,1.6501650165000001,DCP2
Legislation substituting 2% of trans fat with polyunsaturated fat at $6 per adult,1.193317422,0.3909304144,DCP2
"Lithium, valproate, with optional psy-chosocial treatment, community-based",0.3212335368,0.40650406505000003,DCP2
"Lithium, valproate, with optional psychosocial treatment, hospital-based",0.2263980077,0.3022974607,DCP2
Management of drug resistance,3.1446540880000002,2.262443439,DCP2
Management of drug resistance,4.830917874,45.454545455,DCP2
Mother-to-child transmission prevention,5.208333333,1.3513513515,DCP2
Peer and education programs for high-risk groups,27.02702703,8.06451613,DCP2
Polypill by absolute risk approach,0.469924812,0.184501845,DCP2
Residual household spraying,58.82352941,33.333333335,DCP2
Second-line treatment with phenobarbital and lamotrigine or surgery,0.3303600925,7.575757575,DCP2
Staffed community ambulance,8.333333332999999,4.2016806725,DCP2
"Statin, with aspirin and betablocker with ACE inhibitor",0.4930966469,1.519756839,DCP2
Surgical ward or services in district hospital or community clinic,7.352941176,3.0674846625,DCP2
Tetracycline or azithromycin,0.1595150742,0.09934432744999999,DCP2
Treatment of Kaposi's sarcoma,0.01906614044,0.01430124135,DCP2
Treatment of opportunistic infections,6.41025641,1.628664495,DCP2
Tuberculosis coinfection prevention and treatment,8.26446281,17.24137931,DCP2
Vector control,0.38971161340000005,0.43591979075000004,DCP2
Vector control,6.25,2.1367521369999998,DCP2
Voluntary counseling and testing,21.27659574,6.666666665,DCP2
BA only (5 min),2.185792349726776,0.7272727272727273,NICE
BA [5 min plus nicotine replacement therapy (NRT)],0.7582938388625593,0.2524455664247397,NICE
BA (5 min plus self-help),4.324324324324325,1.4414414414414416,NICE
Exercise prescriptions,20.779220779220783,5.755395683453238,NICE
Accelerated partner therapy—doxycycline,0.11408199643493762,0.08556149732620322,NICE
Accelerated partner therapy—azithromycin,0.08236808236808237,0.06177606177606178,NICE
Brief counselling,0.13121207151057898,3.508771929824561,NICE
Information motivation and behaviour skills,0.11313017040231917,0.10370754472387865,NICE
Enhanced counselling,0.03508310310046924,0.06659452260051611,NICE
Life-skills training,0.4581901489117985,0.14414414414414414,NICE
Urban trail,0.15318334131163236,0.035539760106619286,NICE
PA counselling,1.851851851851852,1.0825439783491206,NICE
Smoking cessation—general population: incentive schemes NRT,4.4692737430167595,1.2779552715654952,NICE
Smoking cessation—general population: client centred,32.0,1.830663615560641,NICE
Smoking cessation—general population: proactive telephone counselling,3.747072599531616,0.5468215994531785,NICE
Smoking cessation—general population: recruitment to quit and win,6.153846153846154,0.05959919541086195,NICE
Smoking cessation—general population: identify smokers through other means,3.1746031746031744,0.1951219512195122,NICE
Smoking cessation—general population: pharmacist based,2.9304029304029307,3.686635944700461,NICE
Smoking cessation —general population: dentist based,5.298013245033113,8.791208791208792,NICE
Smoking cessation—disadvantaged groups: client-centred social marketing,1.0230179028132993,0.1335113484646195,NICE
Smoking cessation—disadvantaged groups: NHS SSS,0.5956813104988832,2.6490066225165565,NICE
Smoking cessation—disadvantaged groups: pharmacist based,0.5077753094255791,0.1885902876001886,NICE
Statins—general population: pharmacist based,0.32706459525756343,0.12146978439113272,NICE
Statins—disadvantaged groups: invitation for screening by GP,0.36815462494247586,1.1560693641618496,NICE
Advice about PA,0.04456824512534819,0.04123711340206186,NICE
Individual stress management,0.32012805122048826,0.06919816624859441,NICE
Curricular,0.22222222222222224,0.07497656982193066,NICE
Screening and BA during GP consultation,0.48484848484848486,0.12121212121212122,NICE
Intralesional and intramuscular administration of the pentavalent antimonial drug sodium stibogluconate,0.625,7.489027147041027,GHCEA
Policy intervention to reduce sodium consumption by 10%,26.31578947368421,242.13310026955267,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.941176470588235,29.215781827424166,GHCEA
Policy intervention to reduce sodium consumption by 10%,10.309278350515465,98.34420747401288,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.03571428571428572,0.34452326167468833,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,200.0,961.1786201119693,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),5.263157894736842,13.421091843512349,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.545454545454545,40.01177295766032,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.058823529411764705,0.5327731081111272,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,82.47830661939524,GHCEA
Mass media campaign to promote tobacco cessation,0.2631578947368421,25.472247677479576,GHCEA
Pharmacological therapy for high blood pressure,0.2941176470588235,58.86009911468893,GHCEA
Pharmacological therapy of high cholesterol,0.058823529411764705,10.90370939127741,GHCEA
Rotarix vaccine,0.1388888888888889,0.189897455374098,GHCEA
Therapy with Bupropion for Tobacco Cessation,0.014285714285714285,2.58673958715104,GHCEA
Policy intervention to reduce sodium consumption by 10%,6.25,66.71302963149412,GHCEA
Risperidone (5 mg/day),0.025,96.21144152879333,GHCEA
Methylphenidate,0.08333333333333333,0.6190348563480501,GHCEA
SunSmart program (skin cancer prevention program) in a well-resourced state,0.07142857142857144,0.7985549646889848,GHCEA
Cognitive behavioral therapy with private psychiatrists,0.052631578947368425,0.3471978107343412,GHCEA
Pre-diabetes screen screen plus diet and exercise to prevent or slow the onset of diabetes,0.05,0.49909685293061545,GHCEA
Multiple family groups:  Family engagement sessions and psychoeducation,0.06666666666666667,0.18571045690441504,GHCEA
Active After-school Communities Program (AASC)--physical activity co-ordinators develop and deliver physical activity program specific to each school,0.01694915254237288,0.06388439717511878,GHCEA
Residential treatment + naltrexone,0.01,0.09285522845220752,GHCEA
Group-based psychological intervention following opportunistic screening  to prevent depression,0.058823529411764705,0.14788054901647862,GHCEA
Angiotensin-converting enzyme (ACE) inhibitors via mainstream general practitioner to prevent cardiovascular disease,0.037037037037037035,0.2101460433392065,GHCEA
Selective serotonin reuptake inhibitors as second line treatment,0.052631578947368425,0.1947695035826792,GHCEA
Tricyclic antidepressants - imipramine,0.07142857142857144,0.24723063922259583,GHCEA
Knee replacement surgery,0.1,1.5971099293779696,GHCEA
Laparoscopic adjustable gastric banding plus standard care,0.3225806451612903,2.4799843623881515,GHCEA
HMG-CoA reductase inhibitors (statins) via mainstream general practitioner to prevent cardiovascular disease,0.0196078431372549,0.3629795294040839,GHCEA
Cognitive behavioral therapy,0.3448275862068965,2.5759837570612407,GHCEA
"Looma Healthy Lifestyle- community based intervention to reduce morbidity from diabetes and cardiovascular disease including heath education, exercise",0.005555555555555556,0.03802642688995165,GHCEA
Orlistat treatment,0.0047619047619047615,0.046973821452293216,GHCEA
Nicotine replacement therapy for 6-12 weeks,0.0625,0.420292086678413,GHCEA
Maintenance treatment with tricyclic antidepressants,0.2702702702702703,9.981937058612308,GHCEA
Brief alcohol intervention + telemarketing + support,0.11494252873563218,0.44119058822595836,GHCEA
Screening of children in preschool for depression and anxiety,0.12195121951219512,0.4137590490616501,GHCEA
Walking School Bus (WSB) program to increase the number of children of primary school age walking to school (accompanied by volunteer adults),0.001851851851851852,0.002584320274074384,GHCEA
Cognitive behavioral therapy-public psychiatrists,0.052631578947368425,0.33273123528707693,GHCEA
Maintenance treatment with selective serotonin re-uptake inhibitors,0.06666666666666667,2.6618498822966155,GHCEA
Drug treatment with selective serotonin re-uptake inhibitors SSRIs for acute episodes and 6 months continuation,0.08333333333333333,1.1407928066985495,GHCEA
Residential treatment - alcohol,0.0058823529411764705,0.058717276815366516,GHCEA
"Pre-diabetes screen plus Metformin, diet and exercise to prevent or slow the onset of diabetes",0.014285714285714285,0.06884094523180902,GHCEA
Clozapine (400 mg/day),0.02857142857142857,0.25759837570612404,GHCEA
"Current treatment: all patients receiving antipsychotic medication (haloperidol or other typical antipsychotic, atypical antipsychotic, clozapine) and smaller proportion receiving psychosocial intervention",0.005263157894736842,0.04597613923098093,GHCEA
Olanzapine (15 mg/day),0.03225806451612903,0.3629795294040839,GHCEA
Cognitive behavioral therapy with private psychiatrist,0.03571428571428572,0.12099317646802799,GHCEA
Drink driving mass media,0.0625,0.020581313522911975,GHCEA
Trauma focused cognitive behavioral therapy 8-12 individual weekly sessions,0.11363636363636363,0.39144851210244347,GHCEA
Hip replacement surgery,0.23255813953488375,3.9927748234449236,GHCEA
Clozapine (400 mg/day),0.052631578947368425,0.2661849882296615,GHCEA
Behavioral family management,0.05,0.15657940484097738,GHCEA
Pre-diabetes screen plus Orlistat to prevent or slow the onset of diabetes,0.011494252873563218,0.22182082352471796,GHCEA
Education to improve decision making relating to prostate specific antigen testing,0.1,0.4304878515843583,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.1235955056179776,11.09951997621773,GHCEA
Cognitive behavioral therapy-public psychologist,0.17543859649122806,0.9981937058612309,GHCEA
Serotonin reuptake inhibitors - paroxetine,0.03225806451612903,0.12879918785306202,GHCEA
Treatment with bupropion for a period of 7 weeks,0.12987012987012986,1.9963874117224618,GHCEA
Olanzapine (15 mg/day),0.013157894736842106,0.06825256108452861,GHCEA
Indicated psychological interventions,0.05,0.14889524252106665,GHCEA
Trauma focused cognitive behavioral therapy 8-12 individual weekly sessions,0.05555555555555556,0.7259590588081678,GHCEA
Tricyclic antidepressants TCAs for acute major depressive episodes plus a 6-month continuation phase after remission of symptoms,0.2173913043478261,2.6618498822966155,GHCEA
Sibutramine treatment,0.008333333333333333,0.08872832940988719,GHCEA
Pre-diabetes screen plus Acarbose to prevent or slow the onset of diabetes,0.03125,0.07326192336596188,GHCEA
Cognitive behavioral therapy-public psychiatrist,0.04761904761904762,0.215825666132158,GHCEA
Cognitive behavioral therapy with public psychologist,0.20833333333333334,0.7194188871071934,GHCEA
Pre-diabetes screen plus exercise to prevent or slow the onset of diabetes,0.038461538461538464,0.12099317646802799,GHCEA
Pre-diabetes screen plus diet to prevent or slow the onset of diabetes,0.030303030303030304,0.06388439717511878,GHCEA
Risperidone (5 mg/day),0.058823529411764705,665.4624705741538,GHCEA
Low dose diuretics to prevent cardiovascular disease,0.10416666666666667,0.3442047261590451,GHCEA
Cognitive dissonance – school based bulimia and anorexia preventative intervention,0.00909090909090909,0.08441027490264522,GHCEA
Cognitive behavioral therapy with public psychiatrist,0.038461538461538464,0.12285460995215149,GHCEA
"Optimal treatment with antipsychotic medication (haloperidol or other typical antipsychotic, atypical antipsychotic, clozapine) and psychosocial intervention based on severity groups",0.01,0.05480666039978207,GHCEA
Serotonin and noradrenaline reuptake inhibitors - venlafaxine,0.052631578947368425,0.33273123528707693,GHCEA
Cognitive behavioral therapy individual sessions plus two parent/family sessions + general practitioner (GP) visit for diagnosis and referral,0.04347826086956522,0.14009736222613767,GHCEA
Cognitive behavioral therapy-public psychologist,0.052631578947368425,0.2661849882296615,GHCEA
Pre-diabetes screen plus Metformin to prevent or slow the onset of diabetes,0.052631578947368425,0.420292086678413,GHCEA
Selective serotonin reuptake inhibitors as first-line treatment,0.052631578947368425,0.1996387411722462,GHCEA
Behavioral intervention in families,0.18518518518518517,0.5703964033492748,GHCEA
Cognitive behavioral therapy-private psychologist,0.058823529411764705,0.3802642688995166,GHCEA
General practitioner referral to exercise physiologist,0.015384615384615384,0.07066858094592784,GHCEA
Brief alcohol intervention,0.16949152542372883,1.5971099293779696,GHCEA
Cognitive behavioral therapy-private psychiatrist,0.04545454545454545,0.27536378092723607,GHCEA
Cognitive behavioral therapy with public psychologist,0.13513513513513514,0.39729102720845005,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.6129032258064515,15.936040005767003,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.1739130434782608,23.029703379639066,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.12987012987012986,1.1889256108200186,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.2127659574468085,2.1942784101410306,GHCEA
Community health workerss received training to implement the community case management of severe acute malnutrition,34.48275862068965,798.5549646889847,GHCEA
Neonatal care package- 2 antenatal home visits by community health workers followed by 3 postnatal home visits,8.333333333333334,39.640355655943644,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.263157894736842,49.10256193131555,GHCEA
"Community-based interventions for maternal and newborn health (e.g. pregnancy surveillance, birth preparedness, essential newborn care training, referral and/or home treatment for sepsis)",8.333333333333334,39.640355655943644,GHCEA
Inpatient treatment for severe acute malnutrition,4.166666666666667,23.281485850990805,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.19607843137254902,1.957607212836177,GHCEA
Policy intervention to reduce sodium consumption by 10%,7.6923076923076925,240.0946977417272,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.2820512820512822,13.110838718870832,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.1282051282051282,1.1670241758161075,GHCEA
Antivenom for snakebite,11.627906976744185,39.20635136925494,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.492537313432836,10.10829069226563,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),6.25,29.576109803295726,GHCEA
Policy intervention to reduce sodium consumption by 10%,6.666666666666667,60.38222795379846,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.4492753623188406,13.770563281410325,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.8461538461538463,36.6410463746437,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.5384615384615385,15.490881953229577,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.1111111111111112,8.901515602374147,GHCEA
Xpert MTB/RIF automated DNA test to detect tuberculosis and rifampicin (RIF) resistance,0.7142857142857143,5.291948076136413,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,19.230769230769234,8.775329282296536,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),0.10869565217391305,0.420292086678413,GHCEA
Cochlear implant,0.02380952380952381,0.22221587396732653,GHCEA
"Tuberculosis culture using the solid media, 24 patients/week",2.0,8.468239286203442,GHCEA
Rotarix vaccine,0.5,0.8726003490401396,GHCEA
"Tuberculosis culture using the solid media, 8 patients/week",0.8333333333333334,3.674896294012815,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,85.34305489889759,GHCEA
Tuberculin skin test (TST) followed by isoniazid preventive therapy (IPT) for positive TST (no evidence of active tuberculosis),0.3448275862068965,5.889048412160653,GHCEA
Visit the health center three times weekly during the first 2 months (of tuberculosis treatment) of intensive treatment and twice weekly thereafter for supervised medication intake,9.09090909090909,307.1365248803788,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.0909090909090909,0.9036074649574758,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.555555555555555,56.29970140221268,GHCEA
Antivenom for snakebite,10.0,23.695289893148118,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),3.4482758620689653,26.618498822966156,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,50.0,52.523421864042035,GHCEA
Policy intervention to reduce sodium consumption by 10%,10.0,87.75329282296535,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.3888888888888888,9.8223242889174,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,565.3991883011585,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2987012987012987,8.266614541293837,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.0,27.275846729138394,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),2.7777777777777777,21.81844165816898,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,71.42857142857143,139.30124929158976,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.625,5.800795890609566,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),1.6129032258064515,4.300242136181932,GHCEA
Policy intervention to reduce sodium consumption by 10%,18.867924528301884,199.88860192465197,GHCEA
Antivenom for snakebite,11.11111111111111,39.53633848346295,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,43.47826086956522,118.66402717431721,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.36986301369863,9.307167420617537,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),5.263157894736842,11.294978284144054,GHCEA
Policy intervention to reduce sodium consumption by 10%,4.166666666666667,32.726321244579516,GHCEA
Policy intervention to reduce sodium consumption by 10%,1.9230769230769231,19.264105485465098,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2345679012345678,8.853159253758145,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),4.0,19.01321344497583,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,125.0,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,10.526315789473683,100.59901293638003,GHCEA
Policy intervention to reduce sodium consumption by 10%,5.88235294117647,51.4168414583082,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),3.225806451612903,19.864551360422503,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,200.0,961.1786201119693,GHCEA
Antivenom for snakebite,7.142857142857142,12.221158897630692,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2658227848101267,9.033427202364082,GHCEA
Fortification of wheat flour with folic acid to prevent spina bifida,8.333333333333334,362.97952940408396,GHCEA
Rotarix vaccine,0.07142857142857144,1.325622451342936,GHCEA
Policy intervention to reduce sodium consumption by 10%,2.5,23.544386729043982,GHCEA
Human papilloma virus (HPV) vaccine; 70% coverage,0.00625,0.06341462165787723,GHCEA
Pap smear screening every 5 years,0.03125,0.793003937129081,GHCEA
Hybrid Benefit-based tailored treatment and Treat-to-target strategy to reduce cardiovascular disease,2.2222222222222223,101.21102214055571,GHCEA
Universal hearing screening using otoacoustic emission (OAE),0.03125,0.29576109803295725,GHCEA
Targeted hearing screening using otoacoustic emission (OAE) and automated auditory brainstem response (AABR),0.04545454545454545,0.5703964033492748,GHCEA
Policy intervention to reduce sodium consumption by 10%,8.333333333333334,99.16241955656088,GHCEA
Clinical assessment,0.1282051282051282,1.2711795044396446,GHCEA
Benefit-based tailored treatment,0.13513513513513514,172.10236307952258,GHCEA
"Comprehensive programme included screening of all patients with sputum-smear-positive pulmonary tuberculosis, rapid diagnosis, standardized care and financial protection against catastrophic health expenditure",16.666666666666668,6.599627807346981,GHCEA
Target-to-treat,0.0909090909090909,49.538149174254634,GHCEA
Universal hearing screening using otoacoustic emission (OAE) and automated auditory brainstem response (AABR),0.024390243902439025,0.18571045690441504,GHCEA
Pulse oximetry + clinical assessment,0.01694915254237288,0.4573101389812076,GHCEA
Colonoscopy screening every 10 years,0.012987012987012988,0.96420546328059,GHCEA
Hybrid Benefit-based tailored treatment and Treat-to-target intensive strategy to reduce cardiovascular disease,2.2222222222222223,33.14881547069259,GHCEA
Treat-to-target Intensive strategy to reduce cardiovascular disease,2.2222222222222223,108.79495431730034,GHCEA
Benefit-based tailored treatment Intensive Strategy to reduce cardiovascular disease,3.571428571428571,71.29955041865934,GHCEA
Benefit-based tailored treatment to reduce incidence of cardiovascular disease,3.4482758620689653,111.21935441350762,GHCEA
Health X project for national tuberculosis control,6.25,43.876646411482675,GHCEA
Targeted hearing screening using otoacoustic emission (OAE),0.06666666666666667,0.8872832940988719,GHCEA
Treat-to-target strategy to reduce incidence of cardiovascular disease,2.2222222222222223,88.33572618240981,GHCEA
Pentavalent antimony,0.05,0.8581076345250211,GHCEA
Cochlear implant,0.01,0.3641381507929706,GHCEA
Policy intervention to reduce sodium consumption by 10%,6.25,69.52420030375977,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,0.35714285714285715,2.077676504979796,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),1.0101010101010102,0.6694232246533528,GHCEA
Quadrivalent conjugate meningococcal vaccine,1.2658227848101267,8.804354627221441,GHCEA
Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,142.85714285714286,686.5561572228353,GHCEA
Policy intervention to reduce sodium consumption by 10%,3.571428571428571,26.085485404533518,GHCEA
Policy intervention to reduce sodium consumption by 10%,12.195121951219512,100.7513202988878,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),6.25,41.375904906165005,GHCEA
Long-lasting insecticide-treated bed nets (ITNs) + information on correct use and malaria transmission,45.45454545454545,9.701797651427343,GHCEA
Sickle cell disease screening using isoelectric focusing (IEF),5.555555555555555,13.887912429373648,GHCEA
